valid_from,valid_to,data_type_description,data_coverage,data_type
1982-01-01 00:00:00+00:00,2026-08-31 00:00:00+00:00,Maximum soil temperature with bare ground cover at 20 cm depth,1.0,SX33
2005-01-01 00:00:00+00:00,2024-08-31 00:00:00+00:00,Maximum soil temperature with bare ground cover at 50 cm depth,1.0,SX34
2005-01-01 00:00:00+00:00,2026-07-31 00:00:00+00:00,Maximum soil temperature with bare ground cover at 100 cm depth,0.9923,SX35
2011-01-01 00:00:00+00:00,2026-07-31 00:00:00+00:00,Maximum soil temperature with bare ground cover at 150 cm depth,1.0,SX36
1982-01-01 00:00:00+00:00,2026-07-31 00:00:00+00:00,Maximum soil temperature with sod cover at 5 cm depth,1.0,SX51
1982-01-01 00:00:00+00:00,2026-08-31 00:00:00+00:00,Maximum soil temperature with sod cover at 10 cm depth,1.0,SX52
1982-01-01 00:00:00+00:00,2026-08-31 00:00:00+00:00,Maximum soil temperature with sod cover at 20 cm depth,1.0,SX53
2002-03-01 00:00:00+00:00,2012-06-30 00:00:00+00:00,Maximum soil temperature with sod cover at 50 cm depth,1.0,SX54
2002-03-01 00:00:00+00:00,2026-08-31 00:00:00+00:00,Maximum soil temperature with sod cover at 100 cm depth,1.0,SX55
2012-09-27 00:00:00+00:00,2026-07-31 00:00:00+00:00,Maximum soil temperature with sod cover at 150 cm depth,1.0,SX56
2015-03-01 00:00:00+00:00,2019-05-31 00:00:00+00:00,Maximum soil temperature with sod cover at 180 cm depth,0.0399,SX57
1982-01-01 00:00:00+00:00,1996-11-30 00:00:00+00:00,Maximum soil temperature with straw multch cover at 5 cm depth,0.9799,SX61
1982-06-01 00:00:00+00:00,1990-10-31 00:00:00+00:00,Maximum soil temperature with grass muck cover at 10 cm depth,1.0,SX72
1982-06-01 00:00:00+00:00,1990-10-31 00:00:00+00:00,Maximum soil temperature with bare muck cover at 5 cm depth,1.0,SX81
1982-06-01 00:00:00+00:00,1990-10-31 00:00:00+00:00,Maximum soil temperature with bare muck cover at 10 cm depth,1.0,SX82
1982-06-01 00:00:00+00:00,1990-10-31 00:00:00+00:00,Maximum soil temperature with bare muck cover at 20 cm depth,1.0,SX83
1874-10-13 00:00:00+00:00,2026-09-20 00:00:00+00:00,Average Temperature.,1.0,TAVG
1926-03-17 00:00:00+00:00,2026-08-31 00:00:00+00:00,Thickness of ice on water,1.0,THIC
1763-01-01 00:00:00+00:00,2026-09-20 00:00:00+00:00,Maximum temperature,1.0,TMAX
1763-01-01 00:00:00+00:00,2026-09-20 00:00:00+00:00,Minimum temperature,1.0,TMIN
1876-11-27 00:00:00+00:00,2026-09-20 00:00:00+00:00,Temperature at the time of observation,1.0,TOBS
